"strataName","outcomeName","exposureName","dbName","Original cohorts","No prior outcome","Have at least 1 days at risk"
"All patients","Cardiovascular morbidity (composite)","Users of abiraterone + prednisone with CRPC","MDCR","2474","1983","1686"
"All patients","Ischemic stroke","Users of abiraterone + prednisone with CRPC","MDCR","2474","2356","1972"
"All patients","Hemorrhagic stroke","Users of abiraterone + prednisone with CRPC","MDCR","2474","2454","2043"
"All patients","Heart failure","Users of abiraterone + prednisone with CRPC","MDCR","2474","2150","1818"
"All patients","Acute myocardial infarction","Users of abiraterone + prednisone with CRPC","MDCR","2474","2310","1935"
"All patients","Sudden cardiac death","Users of abiraterone + prednisone with CRPC","MDCR","2474","2466","2051"
"All patients","Alzheimers/dementia/cognative decline","Users of abiraterone + prednisone with CRPC","MDCR","2474","2206","1860"
"All patients","Cardiovascular morbidity (composite)","Users of enzalutamide with CRPC","MDCR","3052","2385","1977"
"All patients","Ischemic stroke","Users of enzalutamide with CRPC","MDCR","3052","2905","2378"
"All patients","Hemorrhagic stroke","Users of enzalutamide with CRPC","MDCR","3052","3018","2456"
"All patients","Heart failure","Users of enzalutamide with CRPC","MDCR","3052","2596","2144"
"All patients","Acute myocardial infarction","Users of enzalutamide with CRPC","MDCR","3052","2870","2344"
"All patients","Sudden cardiac death","Users of enzalutamide with CRPC","MDCR","3052","3029","2469"
"All patients","Alzheimers/dementia/cognative decline","Users of enzalutamide with CRPC","MDCR","3052","2707","2210"
"Prior CVD","Cardiovascular morbidity (composite)","Users of enzalutamide with CRPC (no CVD in prior 6-mo)","MDCR","692","673","556"
"Prior CVD","Ischemic stroke","Users of enzalutamide with CRPC (no CVD in prior 6-mo)","MDCR","692","691","573"
"Prior CVD","Hemorrhagic stroke","Users of enzalutamide with CRPC (no CVD in prior 6-mo)","MDCR","692","692","573"
"Prior CVD","Heart failure","Users of enzalutamide with CRPC (no CVD in prior 6-mo)","MDCR","692","673","556"
"Prior CVD","Acute myocardial infarction","Users of enzalutamide with CRPC (no CVD in prior 6-mo)","MDCR","692","692","573"
"Prior CVD","Sudden cardiac death","Users of enzalutamide with CRPC (no CVD in prior 6-mo)","MDCR","692","692","573"
"Prior CVD","Alzheimers/dementia/cognative decline","Users of enzalutamide with CRPC (no CVD in prior 6-mo)","MDCR","692","657","549"
"Prior CVD","Cardiovascular morbidity (composite)","Users of abiraterone + prednisone with CRPC (no CVD in prior 6-mo)","MDCR","1508","1350","1155"
"Prior CVD","Ischemic stroke","Users of abiraterone + prednisone with CRPC (no CVD in prior 6-mo)","MDCR","1508","1465","1243"
"Prior CVD","Hemorrhagic stroke","Users of abiraterone + prednisone with CRPC (no CVD in prior 6-mo)","MDCR","1508","1503","1270"
"Prior CVD","Heart failure","Users of abiraterone + prednisone with CRPC (no CVD in prior 6-mo)","MDCR","1508","1400","1194"
"Prior CVD","Acute myocardial infarction","Users of abiraterone + prednisone with CRPC (no CVD in prior 6-mo)","MDCR","1508","1470","1244"
"Prior CVD","Sudden cardiac death","Users of abiraterone + prednisone with CRPC (no CVD in prior 6-mo)","MDCR","1508","1503","1271"
